:ID,consumables,created,edited,url,name,cargo_capacity,passengers,cost_in_credits,model,max_atmosphering_speed,manufacturer,length,crew,vehicle_class,:LABEL
185,2 months,2014-12-10T15:36:25.724000Z,2014-12-20T21:30:21.661000Z,https://swapi.dev/api/vehicles/4/,Sand Crawler,50000,30,150000,Digger Crawler,30,Corellia Mining Corporation,36.8 ,46,wheeled,Vehicle
186,0,2014-12-10T16:01:52.434000Z,2014-12-20T21:30:21.665000Z,https://swapi.dev/api/vehicles/6/,T-16 skyhopper,50,1,14500,T-16 skyhopper,1200,Incom Corporation,10.4 ,1,repulsorcraft,Vehicle
187,unknown,2014-12-10T16:13:52.586000Z,2014-12-20T21:30:21.668000Z,https://swapi.dev/api/vehicles/7/,X-34 landspeeder,5,1,10550,X-34 landspeeder,250,SoroSuub Corporation,3.4 ,1,repulsorcraft,Vehicle
188,2 days,2014-12-10T16:33:52.860000Z,2014-12-20T21:30:21.670000Z,https://swapi.dev/api/vehicles/8/,TIE/LN starfighter,65,0,unknown,Twin Ion Engine/Ln Starfighter,1200,Sienar Fleet Systems,6.4,1,starfighter,Vehicle
189,none,2014-12-15T12:22:12Z,2014-12-20T21:30:21.672000Z,https://swapi.dev/api/vehicles/14/,Snowspeeder,10,0,unknown,t-47 airspeeder,650,Incom corporation,4.5,2,airspeeder,Vehicle
190,2 days,2014-12-15T12:33:15.838000Z,2014-12-20T21:30:21.675000Z,https://swapi.dev/api/vehicles/16/,TIE bomber,none,0,unknown,TIE/sa bomber,850,Sienar Fleet Systems,7.8,1,space/planetary bomber,Vehicle
191,unknown,2014-12-15T12:38:25.937000Z,2014-12-20T21:30:21.677000Z,https://swapi.dev/api/vehicles/18/,AT-AT,1000,40,unknown,All Terrain Armored Transport,60,"Kuat Drive Yards, Imperial Department of Military Research",20,5,assault walker,Vehicle
192,none,2014-12-15T12:46:42.384000Z,2014-12-20T21:30:21.679000Z,https://swapi.dev/api/vehicles/19/,AT-ST,200,0,unknown,All Terrain Scout Transport,90,"Kuat Drive Yards, Imperial Department of Military Research",2,2,walker,Vehicle
193,1 day,2014-12-15T12:58:50.530000Z,2014-12-20T21:30:21.681000Z,https://swapi.dev/api/vehicles/20/,Storm IV Twin-Pod cloud car,10,0,75000,Storm IV Twin-Pod,1500,Bespin Motors,7,2,repulsorcraft,Vehicle
194,Live food tanks,2014-12-18T10:44:14.217000Z,2014-12-20T21:30:21.684000Z,https://swapi.dev/api/vehicles/24/,Sail barge,2000000,500,285000,Modified Luxury Sail Barge,100,Ubrikkian Industries Custom Vehicle Division,30,26,sail barge,Vehicle
195,1 day,2014-12-18T10:48:03.208000Z,2014-12-20T21:30:21.688000Z,https://swapi.dev/api/vehicles/25/,Bantha-II cargo skiff,135000,16,8000,Bantha-II,250,Ubrikkian Industries,9.5,5,repulsorcraft cargo skiff,Vehicle
196,2 days,2014-12-18T10:50:28.225000Z,2014-12-20T21:30:21.691000Z,https://swapi.dev/api/vehicles/26/,TIE/IN interceptor,75,0,unknown,Twin Ion Engine Interceptor,1250,Sienar Fleet Systems,9.6,1,starfighter,Vehicle
197,1 day,2014-12-18T11:20:04.625000Z,2014-12-20T21:30:21.693000Z,https://swapi.dev/api/vehicles/30/,Imperial Speeder Bike,4,1,8000,74-Z speeder bike,360,Aratech Repulsor Company,3,1,speeder,Vehicle
198,none,2014-12-19T17:09:53.584000Z,2014-12-20T21:30:21.697000Z,https://swapi.dev/api/vehicles/33/,Vulture Droid,0,0,unknown,Vulture-class droid starfighter,1200,"Haor Chall Engineering, Baktoid Armor Workshop",3.5,0,starfighter,Vehicle
199,unknown,2014-12-19T17:12:04.400000Z,2014-12-20T21:30:21.700000Z,https://swapi.dev/api/vehicles/34/,Multi-Troop Transport,12000,112,138000,Multi-Troop Transport,35,Baktoid Armor Workshop,31,4,repulsorcraft,Vehicle
200,unknown,2014-12-19T17:13:29.799000Z,2014-12-20T21:30:21.703000Z,https://swapi.dev/api/vehicles/35/,Armored Assault Tank,unknown,6,unknown,Armoured Assault Tank,55,Baktoid Armor Workshop,9.75,4,repulsorcraft,Vehicle
201,none,2014-12-19T17:15:09.511000Z,2014-12-20T21:30:21.705000Z,https://swapi.dev/api/vehicles/36/,Single Trooper Aerial Platform,none,0,2500,Single Trooper Aerial Platform,400,Baktoid Armor Workshop,2,1,repulsorcraft,Vehicle
202,1 day,2014-12-19T17:20:36.373000Z,2014-12-20T21:30:21.707000Z,https://swapi.dev/api/vehicles/37/,C-9979 landing craft,1800000,284,200000,C-9979 landing craft,587,Haor Chall Engineering,210,140,landing craft,Vehicle
203,unknown,2014-12-19T17:37:37.924000Z,2014-12-20T21:30:21.710000Z,https://swapi.dev/api/vehicles/38/,Tribubble bongo,1600,2,unknown,Tribubble bongo,85,Otoh Gunga Bongameken Cooperative,15,1,submarine,Vehicle
204,unknown,2014-12-20T10:09:56.095000Z,2014-12-20T21:30:21.712000Z,https://swapi.dev/api/vehicles/42/,Sith speeder,2,0,4000,FC-20 speeder bike,180,Razalon,1.5,1,speeder,Vehicle
205,none,2014-12-20T16:24:16.026000Z,2014-12-20T21:30:21.714000Z,https://swapi.dev/api/vehicles/44/,Zephyr-G swoop bike,200,1,5750,Zephyr-G swoop bike,350,Mobquet Swoops and Speeders,3.68,1,repulsorcraft,Vehicle
206,unknown,2014-12-20T17:17:33.526000Z,2014-12-20T21:30:21.716000Z,https://swapi.dev/api/vehicles/45/,Koro-2 Exodrive airspeeder,80,1,unknown,Koro-2 Exodrive airspeeder,800,Desler Gizh Outworld Mobility Corporation,6.6,1,airspeeder,Vehicle
207,unknown,2014-12-20T17:19:19.991000Z,2014-12-20T21:30:21.719000Z,https://swapi.dev/api/vehicles/46/,XJ-6 airspeeder,unknown,1,unknown,XJ-6 airspeeder,720,Narglatch AirTech prefabricated kit,6.23,1,airspeeder,Vehicle
208,unknown,2014-12-20T18:01:21.014000Z,2014-12-20T21:30:21.723000Z,https://swapi.dev/api/vehicles/50/,LAAT/i,170,30,unknown,Low Altitude Assault Transport/infrantry,620,Rothana Heavy Engineering,17.4,6,gunship,Vehicle
209,unknown,2014-12-20T18:02:46.802000Z,2014-12-20T21:30:21.725000Z,https://swapi.dev/api/vehicles/51/,LAAT/c,40000,0,unknown,Low Altitude Assault Transport/carrier,620,Rothana Heavy Engineering,28.82,1,gunship,Vehicle
210,21 days,2014-12-20T18:10:07.560000Z,2014-12-20T21:30:21.728000Z,https://swapi.dev/api/vehicles/53/,AT-TE,10000,36,unknown,All Terrain Tactical Enforcer,60,"Rothana Heavy Engineering, Kuat Drive Yards",13.2,6,walker,Vehicle
211,7 days,2014-12-20T18:12:32.315000Z,2014-12-20T21:30:21.731000Z,https://swapi.dev/api/vehicles/54/,SPHA,500,30,unknown,Self-Propelled Heavy Artillery,35,Rothana Heavy Engineering,140,25,walker,Vehicle
212,unknown,2014-12-20T18:15:20.312000Z,2014-12-20T21:30:21.735000Z,https://swapi.dev/api/vehicles/55/,Flitknot speeder,unknown,0,8000,Flitknot speeder,634,Huppla Pasa Tisc Shipwrights Collective,2,1,speeder,Vehicle
213,7 days,2014-12-20T18:25:44.912000Z,2014-12-20T21:30:21.739000Z,https://swapi.dev/api/vehicles/56/,Neimoidian shuttle,1000,6,unknown,Sheathipede-class transport shuttle,880,Haor Chall Engineering,20,2,transport,Vehicle
214,unknown,2014-12-20T18:34:12.541000Z,2014-12-20T21:30:21.742000Z,https://swapi.dev/api/vehicles/57/,Geonosian starfighter,unknown,0,unknown,Nantex-class territorial defense,20000,Huppla Pasa Tisc Shipwrights Collective,9.8,1,starfighter,Vehicle
215,none,2014-12-20T19:43:54.870000Z,2014-12-20T21:30:21.745000Z,https://swapi.dev/api/vehicles/60/,Tsmeu-6 personal wheel bike,10,1,15000,Tsmeu-6 personal wheel bike,330,Z-Gomot Ternbuell Guppat Corporation,3.5,1,wheeled walker,Vehicle
216,unknown,2014-12-20T19:50:58.559000Z,2014-12-20T21:30:21.749000Z,https://swapi.dev/api/vehicles/62/,Emergency Firespeeder,unknown,unknown,unknown,Fire suppression speeder,unknown,unknown,unknown,2,fire suppression ship,Vehicle
217,none,2014-12-20T20:05:19.992000Z,2014-12-20T21:30:21.752000Z,https://swapi.dev/api/vehicles/67/,Droid tri-fighter,0,0,20000,tri-fighter,1180,"Colla Designs, Phlac-Arphocc Automata Industries",5.4,1,droid starfighter,Vehicle
218,3 days,2014-12-20T20:20:53.931000Z,2014-12-20T21:30:21.756000Z,https://swapi.dev/api/vehicles/69/,Oevvaor jet catamaran,50,2,12125,Oevvaor jet catamaran,420,Appazanna Engineering Works,15.1,2,airspeeder,Vehicle
219,none,2014-12-20T20:21:55.648000Z,2014-12-20T21:30:21.759000Z,https://swapi.dev/api/vehicles/70/,Raddaugh Gnasp fluttercraft,20,0,14750,Raddaugh Gnasp fluttercraft,310,Appazanna Engineering Works,7,2,air speeder,Vehicle
220,20 days,2014-12-20T20:24:45.587000Z,2014-12-20T21:30:21.762000Z,https://swapi.dev/api/vehicles/71/,Clone turbo tank,30000,300,350000,HAVw A6 Juggernaut,160,Kuat Drive Yards,49.4,20,wheeled walker,Vehicle
221,none,2014-12-20T20:26:55.522000Z,2014-12-20T21:30:21.765000Z,https://swapi.dev/api/vehicles/72/,Corporate Alliance tank droid,none,4,49000,NR-N99 Persuader-class droid enforcer,100,Techno Union,10.96,0,droid tank,Vehicle
222,none,2014-12-20T20:32:05.687000Z,2014-12-20T21:30:21.768000Z,https://swapi.dev/api/vehicles/73/,Droid gunship,0,0,60000,HMP droid gunship,820,"Baktoid Fleet Ordnance, Haor Chall Engineering",12.3,0,airspeeder,Vehicle
223,1 day,2014-12-20T20:47:49.189000Z,2014-12-20T21:30:21.772000Z,https://swapi.dev/api/vehicles/76/,AT-RT,20,0,40000,All Terrain Recon Transport,90,Kuat Drive Yards,3.2,1,walker,Vehicle
